Item description	Item #	UPC	PI count	Commodity	Nil qty
Apple, Empire, Sold in singles, 0.13 - 0.18 KG	1	4124	0	Unknown	1
Asparagus, Sold in bunches, 0.42 - 0.53 KG	1	20408000000	0	Unknown	1
Barbie Doll and Accessories, 'Malibu' Travel Set with Puppy & Working Suitcase, 10+ Pieces	50107411	19473509812	2	Unknown	1
Chex Mix Herb and Garlic Snack Mix	51089197	6563323712	2	Unknown	1
Dr Pepper Soft Drink 24 x 355 ml Cube, Cans	9210509	5490003019	3	Unknown	1
Gillette Venus for Pubic Hair and Skin, Women's Razor Blades, 8 Refills	50127354	4740068681	4	General	1
Keurig K-Express Essentials Single Serve K-Cup Coffee Maker	50746853	61124740756	9	General	1
Mobil 1 Full Synthetic Engine Oil 0W-16	30716777	5819638880	2	GMD	1
Farmhouse Sourdough Bread Loaf, No Artificial Preservatives, Flavours or Colours, 675 g	51064727	5657300041	5	Ambient	1
Dempster's Protein Everything Bagel	50944119	6872137882	2	Ambient	1
Silver hills Sprouted 16 Grain Bread	8105160	5599104016	3	Ambient	1
Campbell's No Salt Added Ready to Use Chicken Broth, Shelf Stable	9237018	6321119455	0	Ambient	1
Mini-Wheats Original Frosted Cereal 460g - crispy biscuits	50525135	5972410047	2	Ambient	1
Nectarines, Yellow Flesh, Sold in singles, 0.11 - 0.14 KG	9493447	4035	7	Ambient	2
Pears, Bartlett, Sold in singles, 0.17 - 0.20 KG	31363048	4024	126	Ambient	1
Chex Mix Traditional Snack Mix	51089198	6563323711	10	Ambient	1
Canada Dry Zero Sugar 6X710ML	50425849	6210001166	13	Ambient	1
International Delight Vanilla Toffee Caramel Coffee Creamer	30748032	4127100971	45	Chilled	1
Natrel Lactose Free 1% Chocolate Milk 2L	30398867	5587210501	6	Chilled	1
Maple Leaf Original Pork Breakfast Sausage, 26 Sausages, Value Pack	30348779	62891536624	20	Chilled	1
Your Fresh Market Mango Chunks, 225 g	50380943	62773526200	1	Chilled	1
Mitchell's Heritage Thick Sliced Bacon, 1 kg	30595320	5962072672	51	Chilled	1
Great Value Maple Flavoured Bacon, Great Value maple bacon	31069099	62891741272	26	Chilled	1
